id,category,topic,japan_maturity,overseas_room,search_intent,purchase_need,advertiser_fit,affiliate,competition,toolability,primary_information,safety,limit,sources,source_urls,status,priority,checked
C001,Bath & hygiene,Electric bidet seats,Established industry/history evidence; no unverified household penetration figure,US / Canada; then locally approved UK/EU models: problem-led opportunity hypothesis; volumes not measured,will a bidet seat fit my toilet,Pre-purchase or implementation comparison,Bathroom equipment / installers,Retail links possible; programme approval unverified,High: manufacturers publish fit guides (editorial estimate; no keyword audit),Measurement and readiness worksheet,Primary reference available; scope and missing evidence recorded,Medium: water and electrical installation,"Electrical protection, backflow rules and exact bowl contour","TOTO_HISTORY, TOTO_FIT, BRONDELL_FIT",https://jp.toto.com/company/press/2025_12_09/ | https://www.totousa.com/filemanager_uploads/product_assets/OwnersManual/Washlet-Fit-Chart.pdf | https://help.brondell.com/hc/en-us/articles/34579633981709-Fit-Measurement-Guide-Toilet-Compatibility,Publish first,1,2026-09-24
C002,Bath & hygiene,Non-electric bidet attachments,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,bidet without electricity installation,Readiness / implementation research,Bathroom equipment / installers,Retail links possible; programme approval unverified,High: manufacturers publish fit guides (editorial estimate; no keyword audit),Plumbing and clearance checklist,Primary reference available; scope and missing evidence recorded,Medium: water and electrical installation,Separate product manual needed; catalogue evidence incomplete,"TOTO_PRODUCTS, BRONDELL_FIT",https://jp.toto.com/products/ | https://help.brondell.com/hc/en-us/articles/34579633981709-Fit-Measurement-Guide-Toilet-Compatibility,Hold for topic-specific validation,,2026-09-24
C003,Bath & hygiene,Heated toilet seats,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,heated toilet seat electricity cost,Pre-purchase or implementation comparison,Bathroom equipment / installers,Retail links possible; programme approval unverified,High: manufacturers publish fit guides (editorial estimate; no keyword audit),Measured-power cost calculator,Primary reference available; scope and missing evidence recorded,Medium: water and electrical installation,Electrical product approval and standby energy,"TOTO_PRODUCTS, ESRI",https://jp.toto.com/products/ | https://www.esri.cao.go.jp/jp/stat/shouhi/shouhi,Hold for topic-specific validation,,2026-09-24
C004,Bath & hygiene,Portable travel bidets,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,portable bidet bottle vs electric,Pre-purchase or implementation comparison,Bathroom equipment / installers,Retail links possible; programme approval unverified,High: manufacturers publish fit guides (editorial estimate; no keyword audit),Travel feature comparison,Primary reference available; scope and missing evidence recorded,Medium: water and electrical installation,Water source and cleaning; no medical claims,TOTO_PRODUCTS,https://jp.toto.com/products/,Hold for topic-specific validation,,2026-09-24
C005,Bath & hygiene,Bath reheating loops,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,Japanese bath reheat retrofit,Pre-purchase or implementation comparison,Bathroom equipment / installers,Retail links possible; programme approval unverified,High: manufacturers publish fit guides (editorial estimate; no keyword audit),Installer question list,Primary reference available; scope and missing evidence recorded,Medium: water and electrical installation,Specific reheat model manual and local plumbing evidence needed,BATH,https://sumai.panasonic.jp/bathroom/bevas/base_plan/,Hold for topic-specific validation,,2026-09-24
C006,Bath & hygiene,Insulated bath covers,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,insulated bathtub lid heat loss,Pre-purchase or implementation comparison,Bathroom equipment / installers,Retail links possible; programme approval unverified,High: manufacturers publish fit guides (editorial estimate; no keyword audit),Measured cooling comparison worksheet,Primary reference available; scope and missing evidence recorded,Medium: water and electrical installation,No universal heat-retention or savings claim,BATH,https://sumai.panasonic.jp/bathroom/bevas/base_plan/,Hold for topic-specific validation,,2026-09-24
C007,Bath & hygiene,Bathroom heater dryers,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,bathroom heater dryer installation,Readiness / implementation research,Bathroom equipment / installers,Retail links possible; programme approval unverified,High: manufacturers publish fit guides (editorial estimate; no keyword audit),Ventilation and circuit checklist,Primary reference available; scope and missing evidence recorded,Medium: water and electrical installation,"Moisture, wet-zone electrical and exhaust requirements",BATH_HEAT,https://www.mitsubishielectric.co.jp/ldm/ventilationfan/bath/,Hold for topic-specific validation,,2026-09-24
C008,Bath & hygiene,Prefabricated unit bathrooms,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,Japanese unit bathroom dimensions,Pre-purchase or implementation comparison,Bathroom equipment / installers,Retail links possible; programme approval unverified,High: manufacturers publish fit guides (editorial estimate; no keyword audit),Envelope and service access worksheet,Primary reference available; scope and missing evidence recorded,Medium: water and electrical installation,Construction standards and waterproofing differ,BATH,https://sumai.panasonic.jp/bathroom/bevas/base_plan/,Hold for topic-specific validation,,2026-09-24
C009,Bath & hygiene,Compact handwash basins,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,small toilet handwash basin dimensions,Readiness / implementation research,Bathroom equipment / installers,Retail links possible; programme approval unverified,High: manufacturers publish fit guides (editorial estimate; no keyword audit),Clearance checklist,Primary reference available; scope and missing evidence recorded,Medium: water and electrical installation,Local accessibility and plumbing rules,TOTO_PRODUCTS,https://jp.toto.com/products/,Hold for topic-specific validation,,2026-09-24
C010,Bath & hygiene,Touchless washbasin taps,Catalogue/service confirmed; national uptake not established,Segment-specific hypothesis; adoption gap and search volume not measured,sensor faucet battery maintenance,Pre-purchase or implementation comparison,Bathroom equipment / installers,Retail links possible; programme approval unverified,High: manufacturers publish fit guides (editorial estimate; no keyword audit),Maintenance comparison,Primary reference available; scope and missing evidence recorded,Medium: water and electrical installation,Not uniquely Japanese; established global competition,TOTO_PRODUCTS,https://jp.toto.com/products/,Hold for topic-specific validation,,2026-09-24
